,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
69,百合转债,113520,2018-11-26,梦百合,603313,其他,119.49,0.45%,-0.48%,22.47,-0.04%,12,2.20%,18.96,3.03,18.50%,118.51,0.80%,转股中,5.44年,3.44年,7.90%,9.40%,4.4,-0.60%,-1.11%,-0.70%,-3.81%,-4.01%,84.53,84.86,43.64,128.5,-7.00%,42%,<2%,16%,0.83,1.99,-0.21,AA-,6.00%,17
70,洲明转债,123016,2018-12-03,洲明科技,300232,电子,121.86,0.65%,0.71%,10.96,1.67%,1.6,0.20%,9.45,3.63,16.00%,115.98,5.10%,转股中,5.44年,3.44年,6.50%,7.60%,5.5,-0.95%,-1.46%,-1.06%,-4.28%,-4.49%,84.78,84.99,41.51,126.5,-3.70%,69%,12%,16%,0.82,1.18,0.49,AA-,6.00%,20
71,长久转债,113519,2018-11-30,长久物流,603569,交通运输,105.02,-0.81%,0.32%,11.5,-0.86%,0.9,0.10%,11.85,2.6,-3.00%,97.05,8.20%,转股中,5.44年,3.44年,10.90%,10.50%,7,2.63%,1.96%,2.50%,-0.25%,-0.47%,87.51,93.02,21.59,114.61,-8.40%,52%,7%,17%,0.57,2.04,-0.73,AA,5.00%,15
72,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,116.252,0.09%,-0.57%,33,-0.66%,1.3,0.10%,30.87,4.3,6.90%,106.9,8.70%,转股中,5.43年,3.43年,3.80%,4.10%,13,-1.03%,-1.36%,-1.10%,-3.20%,-3.38%,88.45,86.99,30.46,117.45,-1.00%,38%,15%,16%,0.73,0.78,0.69,AA+,4.50%,8
73,利尔转债!,128046,2018-11-09,利尔化学,2258,石油天然气化工,101.6,0.10%,0.40%,13.74,1.48%,2.2,0.30%,18.62,2.46,-26.20%,73.79,37.70%,转股中,5.38年,3.38年,11.80%,8.70%,8.5,2.09%,1.62%,2.00%,0.61%,0.40%,87.47,87.62,9.08,96.7,5.10%,40%,25%,16%,0.33,-0.94,1.64,AA,5.00%,13
74,顾家转债,113518,2018-10-09,顾家家居,603816,其他,107.3,0.45%,0.32%,44.39,1.65%,0.7,0.10%,52.2,4.05,-15.00%,85.04,26.20%,转股中,5.28年,3.28年,5.70%,4.90%,11,1.40%,0.87%,1.29%,-0.97%,-1.18%,87.88,89.57,14.35,103.92,3.30%,39%,22%,16%,0.46,-0.53,1.47,AA,5.00%,14
75,机电转债,128045,2018-09-14,中航机电,2013,航空航天,110.902,-0.36%,0.44%,7.06,0.14%,3.8,0.20%,7.63,2.82,-7.50%,92.53,19.90%,转股中,5.24年,3.24年,8.20%,7.60%,21,-0.16%,-0.51%,-0.23%,-2.02%,-2.22%,90.66,89.91,17.47,107.38,3.30%,54%,22%,16%,0.55,-0.18,1.27,AAA,4.00%,14
76,岭南转债!,128044,2018-09-04,岭南股份,2717,城市公用设施,99.22,-0.58%,0.39%,4.96,-0.40%,2.4,0.40%,5.92,1.15,-16.20%,83.78,18.40%,转股中,5.20年,3.20年,8.60%,7.20%,6.6,2.42%,1.98%,2.33%,1.30%,1.09%,88.03,87.4,14.29,101.69,-2.40%,65%,14%,16%,0.46,0.66,0.29,AA,5.00%,37
77,蓝盾转债!!,123015,2018-09-13,蓝盾股份,300297,计算机及应用,110.105,-0.72%,-0.09%,6.16,-0.96%,1.2,1.10%,5.82,1.6,5.80%,105.84,4.00%,转股中,5.20年,3.20年,1.30%,1.40%,1,0.56%,0.09%,0.47%,-1.75%,-1.97%,88.23,88.38,17.72,106.1,3.80%,38%,48%,16%,0.84,0.19,1.48,AA,5.00%,28
78,曙光转债!,113517,2018-08-23,中科曙光,603019,计算机及应用,120.1,-0.32%,-0.55%,38.19,-1.24%,5.6,0.40%,36.53,6.63,4.50%,104.54,14.90%,转股中,5.18年,3.18年,3.30%,3.40%,11.2,-1.14%,-1.60%,-1.23%,-4.31%,-4.51%,88.32,88.46,28.15,116.61,3.00%,53%,21%,16%,0.7,-0.18,1.59,AA,5.00%,7
79,东音转债!!,128043,2018-08-27,东音股份,2793,机械装备制造,139.124,-0.57%,-0.15%,15.22,-0.72%,25,8.80%,11.13,3.77,36.70%,136.75,1.70%,转股中,5.17年,3.17年,6.70%,9.20%,2.1,-3.60%,-4.10%,-3.70%,-8.47%,-8.66%,85.67,86.01,50.74,136.75,1.70%,68%,76%,17%,1,0.64,1.35,AA-,6.00%,31
80,苏农转债,113516,2018-08-20,苏农银行,603323,金融,105.01,-0.48%,0.48%,6.07,0.00%,14,1.00%,6.34,0.9,-4.30%,95.74,9.70%,转股中,5.17年,无权,13.00%,12.40%,12.9,1.92%,1.36%,1.81%,无权,无权,无权,92.55,20.6,113.16,-7.20%,48%,10%,18%,0.55,1.93,-0.66,AA+,4.50%,30
81,凯发转债!,123014,2018-08-21,凯发电气,300407,能源电力,104,0.71%,-0.71%,7.7,0.00%,0.3,0.10%,8.15,2.16,-5.50%,94.48,10.10%,转股中,4年56天,2年56天,14.60%,13.80%,3.2,1.27%,0.83%,1.18%,-0.73%,-0.92%,86.54,81.47,26.01,107.48,-3.20%,64%,13%,18%,0.64,0.71,0.58,A+,7.50%,18
82,凯中转债!,128042,2018-09-03,凯中精密,2823,能源电力,98.18,-0.20%,0.10%,9.87,-0.30%,1.9,0.50%,12.99,2.34,-24.00%,75.98,29.20%,转股中,5年59天,3年59天,14.50%,11.00%,4.2,3.58%,2.96%,3.46%,1.70%,1.47%,88.4,91.66,9.31,100.96,-2.80%,66%,14%,17%,0.33,0.59,0.09,AA,5.00%,48
83,横河转债!,123013,2018-08-20,横河模具,300539,机械装备制造,106.8,-0.65%,-0.51%,9.32,-1.58%,0.4,1.10%,9.26,4.27,0.60%,100.65,6.10%,转股中,5年55天,3年55天,1.90%,1.90%,0.4,1.75%,1.16%,1.63%,-0.61%,-0.88%,82.63,81.07,34.01,115.08,-7.20%,76%,<2%,17%,0.73,1.49,0.05,A+,7.50%,30
84,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,110.11,-0.34%,0.63%,9.48,0.42%,9.3,1.10%,9.33,2.44,1.60%,101.61,8.40%,转股中,5年55天,3年55天,11.70%,11.90%,7.5,0.57%,0.09%,0.47%,-1.78%,-2.00%,88.45,88.59,25.82,114.42,-3.80%,67%,13%,16%,0.67,1.16,0.23,AA,5.00%,28
85,万顺转债,123012,2018-08-29,万顺新材,300057,造纸包装印刷,108.434,0.27%,-1.28%,5.51,-1.43%,1.2,0.60%,5.36,0.93,2.80%,102.8,5.50%,转股中,5年49天,3年49天,4.60%,4.80%,1.7,0.52%,0.11%,0.44%,-1.33%,-1.55%,85.82,83.07,32.64,115.71,-6.30%,41%,<2%,18%,0.71,1.62,-0.12,AA-,6.00%,22
86,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,100.08,-0.13%,-0.09%,5.52,-0.36%,1.3,0.60%,5.92,3.3,-6.80%,93.24,7.30%,转股中,4年49天,2年49天,10.10%,9.40%,2,2.69%,2.16%,2.58%,0.94%,0.75%,86.66,83.07,24.17,107.24,-6.70%,70%,9%,18%,0.62,1.38,-0.07,A+,7.50%,49
87,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,97.19,-0.50%,0.27%,28.18,-0.53%,2.9,0.50%,34.96,1.61,-19.40%,80.61,20.60%,转股中,5年47天,2.63年,18.80%,15.10%,5.6,3.88%,3.23%,3.75%,2.23%,1.98%,87.91,87.83,14.17,102,-4.70%,41%,12%,17%,0.43,0.88,0.03,AA-,6.00%,47
88,盛路转债!!,128041,2018-08-14,盛路通信,2446,通信互联网,136.9,0.12%,0.20%,9.35,0.32%,6.2,5.00%,6.88,2.34,35.90%,135.9,0.70%,转股中,5年46天,3年46天,1.10%,1.50%,0.9,-3.33%,-3.83%,-3.43%,-8.09%,-8.29%,88.75,90.45,45.45,135.9,0.70%,53%,53%,16%,1,0.85,1.15,AA,5.00%,13
89,海澜转债!,110045,2018-07-31,海澜之家,600398,服装纺织,100,-0.41%,0.03%,8.7,-1.36%,3.8,0.10%,12.02,2.9,-27.60%,72.38,38.20%,转股中,5年42天,3年42天,7.70%,5.60%,30,2.26%,1.82%,2.17%,0.86%,0.69%,89.1,89.66,6.62,96.28,3.90%,30%,23%,16%,0.28,-0.62,1.19,AA+,4.50%,38
90,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,131.41,-1.20%,-0.56%,46.88,-1.97%,11,3.20%,35.46,5.08,32.20%,132.21,-0.60%,转股中,5年41天,3年41天,2.70%,3.60%,2.7,-2.94%,-3.38%,-3.03%,-7.05%,-7.24%,85.74,84.46,55.07,139.53,-5.80%,50%,<2%,16%,0.9,1.95,-0.06,AA-,6.00%,21
91,博世转债!,123010,2018-08-14,博世科,300422,城市公用设施,100.601,0.00%,0.18%,10,0.40%,0.5,0.10%,12.45,2.42,-19.70%,80.32,25.20%,转股中,5年34天,3年34天,12.10%,9.70%,4.3,2.41%,1.92%,2.31%,0.98%,0.74%,86.03,84.75,15.1,99.85,0.80%,68%,19%,17%,0.45,-0.19,1.09,AA-,6.00%,49
92,湖广转债!,127007,2018-08-01,湖北广电,665,传媒娱乐,108.6,0.51%,0.46%,8.24,1.48%,6.1,0.40%,7.92,0.87,4.00%,104.04,4.40%,转股中,5年27天,3年27天,23.60%,24.60%,13.3,0.91%,0.42%,0.81%,-1.31%,-1.55%,90.44,91.35,26.21,117.55,-7.60%,32%,7%,17%,0.66,2.15,-0.66,AA+,4.50%,33
93,广电转债!,110044,2018-07-24,广电网络,600831,传媒娱乐,158.24,0.02%,2.81%,10.32,3.10%,206,156%,6.91,1.94,49.30%,149.35,6.00%,转股中,5年26天,3年26天,1.20%,1.70%,0.8,-6.49%,-6.91%,-6.57%,-12.10%,-12.20%,88.79,88.94,67.1,156.04,1.40%,43%,29%,17%,0.91,0.53,1.29,AA,5.00%,11
94,千禾转债!,113511,2018-07-10,千禾味业,603027,食品饮料,108.09,0.74%,1.03%,17.68,2.67%,1.1,0.30%,18.31,4.47,-3.40%,96.56,11.90%,转股中,5年19天,3年19天,4.40%,4.30%,3.6,0.92%,0.44%,0.82%,-1.32%,-1.53%,86.04,84.76,25.19,109.95,-1.70%,61%,16%,16%,0.66,0.51,0.82,AA-,6.00%,38
95,再升转债!,113510,2018-07-13,再升科技,603601,城市公用设施,101.81,0.31%,-0.63%,7.23,-0.82%,0.5,0.50%,8.59,2.89,-15.80%,84.17,21.00%,转股中,5年18天,1年18天,2.20%,1.90%,1.1,2.19%,1.69%,2.09%,-0.52%,-0.71%,94.26,84.97,17.72,102.69,-0.90%,67%,16%,17%,0.39,0.33,0.46,AA-,6.00%,37
96,华通转债!,128040,2018-07-13,华通医药,2758,医药,103.504,-0.29%,0.13%,9.75,-0.31%,3.4,1.50%,11.45,3.38,-14.80%,85.15,21.60%,转股中,5年13天,3年13天,10.80%,9.20%,2.2,1.85%,1.36%,1.75%,0.09%,-0.14%,86.32,85.04,18.59,103.63,-0.10%,77%,19%,18%,0.51,0.04,0.97,AA-,6.00%,61
97,三力转债!,128039,2018-06-29,三 力 士,2224,机械装备制造,110.275,0.16%,-0.64%,6.34,-0.63%,17,5.60%,5.84,2.26,8.60%,108.56,1.60%,转股中,5年7天,3年7天,6.20%,6.70%,2.8,0.06%,-0.33%,-0.02%,-2.03%,-2.23%,86,83.03,35.98,119.01,-7.30%,39%,<2%,17%,0.77,1.99,-0.31,AA-,6.00%,21
98,新泉转债!,113509,2018-06-22,新泉股份,603179,汽车,98.5,-0.82%,0.90%,13.42,0.30%,0.5,0.10%,18.89,1.97,-29.00%,71.04,38.60%,转股中,5年3.3天,3年3.3天,14.70%,10.50%,4.5,2.48%,2.05%,2.40%,1.62%,1.39%,88.87,87.45,8.21,95.66,3.00%,55%,25%,17%,0.28,-0.5,1.07,AA,5.00%,25
99,新凤转债!,113508,2018-05-16,新凤鸣,603225,服装纺织,99.78,-0.22%,0.42%,12.55,0.64%,10,0.50%,16.83,1.88,-25.40%,74.57,33.80%,转股中,4.91年,2.91年,14.40%,10.70%,21.5,2.58%,2.08%,2.48%,1.14%,0.93%,89.03,89.18,8.16,97.34,2.50%,55%,22%,16%,0.31,-0.43,1.06,AA,5.00%,30
100,天马转债!,113507,2018-05-07,天马科技,603668,农业,143.27,-9.81%,0.93%,10.93,-9.59%,348,249%,7.37,3.48,48.30%,148.3,-3.40%,转股中,4.87年,2.87年,2.70%,4.00%,0.9,-4.85%,-5.29%,-4.94%,-10.10%,-10.30%,86.75,85.45,69.15,154.6,-7.30%,53%,<2%,17%,0.93,2.42,-0.4,AA-,6.00%,17
101,金农转债!!,128036,2018-04-02,金新农,2548,农业,158.8,4.17%,2.41%,15.56,6.58%,909,329%,9.62,4.97,61.70%,161.75,-1.80%,转股中,4.77年,2.77年,2.70%,4.30%,1.8,-7.37%,-7.73%,-7.44%,-13.50%,-13.60%,87.26,84.44,77.3,161.75,-1.80%,41%,41%,17%,1,1.39,0.64,AA-,6.00%,39
102,利欧转债!!,128038,2018-04-19,利欧股份,2131,传媒娱乐,118.6,0.34%,0.15%,2.05,0.49%,2.4,1.10%,1.72,1.73,19.20%,119.19,-0.50%,转股中,4.81年,2.81年,1.40%,1.60%,1.9,-0.87%,-1.38%,-0.97%,-4.57%,-4.77%,89.45,90.39,28.8,119.19,-0.50%,80%,<2%,16%,1,1.1,0.9,AA,5.00%,44
103,岩土转债!,128037,2018-04-25,中化岩土,2542,建筑,94.718,-0.21%,-0.06%,4.93,-1.99%,3.2,0.60%,8.03,2.38,-38.60%,61.39,54.30%,转股中,4.79年,2.79年,6.70%,4.10%,6,3.79%,3.27%,3.68%,3.00%,2.77%,89.53,89.68,3.02,92.71,2.20%,53%,22%,16%,0.14,-0.41,0.68,AA,5.00%,69
104,敖东转债!,127006,2018-05-11,吉林敖东,623,金融,100.118,-0.21%,0.10%,16.19,-0.31%,2.6,0.10%,20.82,0.89,-22.20%,77.76,28.70%,转股中,4.78年,2.78年,12.80%,9.90%,24.1,1.70%,1.36%,1.63%,0.66%,0.52%,89.7,88.05,9.21,97.27,2.90%,31%,21%,16%,0.34,-0.34,1.03,AA+,4.50%,48
105,长证转债!,127005,2018-04-11,长江证券,783,金融,112.359,-0.74%,0.66%,7.15,-0.14%,22,0.40%,7.45,1.5,-4.00%,95.97,17.10%,转股中,4.78年,无权,12.60%,12.10%,50,-0.51%,-0.88%,-0.58%,无权,无权,无权,91.25,19.78,111.03,1.20%,33%,22%,18%,0.57,0.26,0.89,AAA,4.00%,33
106,星源转债!,123009,2018-04-10,星源材质,300568,汽车,105.93,0.87%,-0.49%,24.08,0.75%,1,0.20%,27.49,3.07,-12.40%,87.6,20.90%,转股中,4.77年,2.77年,10.40%,9.10%,4.8,0.87%,0.46%,0.78%,-0.94%,-1.14%,89.41,87.77,16.26,104.03,1.80%,63%,20%,17%,0.5,-0.12,1.12,AA,5.00%,14
107,杭电转债!,113505,2018-03-27,杭电股份,603618,能源电力,100.89,-0.20%,0.28%,6.51,0.15%,7.9,1.00%,7.29,2.13,-10.70%,89.3,13.00%,转股中,4.77年,2.77年,17.40%,15.50%,7.8,2.41%,1.91%,2.31%,0.82%,0.59%,89.64,89.79,15.76,105.55,-4.40%,42%,11%,16%,0.52,1.16,-0.07,AA,5.00%,44
108,艾华转债!,113504,2018-03-23,艾华集团,603989,电子,104.33,-0.02%,0.33%,18.85,0.64%,7.3,1.00%,21.73,3.77,-13.30%,86.75,20.30%,转股中,4.75年,2.75年,9.40%,8.20%,6.9,1.30%,0.87%,1.21%,-0.34%,-0.56%,89.69,88.25,14.92,103.17,1.10%,40%,19%,16%,0.49,0.02,0.95,AA,5.00%,13
109,玲珑转债!,113019,2018-03-22,玲珑轮胎,601966,汽车,107.51,-0.46%,-0.02%,16.72,-1.18%,2.6,0.10%,18.84,2.05,-11.30%,88.75,21.10%,转股中,3.75年,1.75年,10.00%,8.80%,20,1.35%,0.72%,1.23%,-2.84%,-3.01%,93.54,95.99,10.02,106.01,1.40%,34%,19%,16%,0.41,-0.02,0.84,AA+,4.50%,17
110,大族转债!,128035,2018-03-05,大族激光,2008,电子,103.244,-0.04%,0.30%,33.13,2.70%,12,0.50%,52.3,4.43,-36.70%,63.35,63.00%,转股中,4.69年,2.69年,6.50%,4.10%,23,1.06%,0.72%,0.99%,0.53%,0.20%,92.49,88.44,5.72,94.15,9.70%,40%,38%,16%,0.1,-1.69,1.96,AA+,4.50%,31
111,无锡转债!,110043,2018-03-14,XD无锡银,600908,金融,100.97,-0.28%,0.09%,5.61,-0.36%,19,0.60%,6.52,1,-14.00%,86.04,17.30%,转股中,4.67年,无权,28.90%,24.90%,30,0.94%,0.71%,0.89%,无权,无权,无权,86.11,15.81,101.92,-0.90%,46%,18%,18%,0.52,0.5,0.55,AA+,4.50%,61
112,江银转债!,128034,2018-02-14,江阴银行,2807,金融,104.619,-0.25%,0.25%,4.65,0.00%,21,1.10%,4.68,0.79,-0.60%,99.36,5.30%,转股中,4.66年,无权,17.40%,17.30%,17.6,1.02%,0.63%,0.94%,无权,无权,无权,89.57,22.91,112.49,-7.00%,50%,9%,18%,0.63,1.97,-0.56,AA+,4.50%,59
113,道氏转债!,123007,2018-01-26,道氏技术,300409,建筑,103.98,-1.91%,1.24%,13.38,-1.25%,0.7,0.20%,15.2,2.66,-12.00%,88.03,18.10%,转股中,4.58年,2.58年,5.00%,4.40%,3,1.67%,1.18%,1.57%,-0.17%,-0.42%,88.35,86.28,17.47,103.75,0.20%,77%,19%,16%,0.53,0.06,1.01,AA-,6.00%,17
114,迪龙转债!,128033,2018-01-29,雪迪龙,2658,城市公用设施,99.36,0.23%,0.01%,7.59,0.53%,1.4,0.30%,8.93,2.3,-15.00%,84.99,16.90%,转股中,4.57年,2.57年,11.30%,9.60%,5.2,2.35%,1.92%,2.27%,1.35%,1.13%,90.25,88.61,14.01,102.61,-3.20%,38%,14%,17%,0.45,0.89,0.05,AA,5.00%,61
115,吉视转债!,113017,2018-01-15,吉视传媒,601929,传媒娱乐,99.73,0.18%,0.68%,2.48,2.06%,7.5,0.50%,2.96,1.16,-16.20%,83.78,19.00%,转股中,4.57年,2.57年,20.20%,16.90%,15.6,2.27%,1.83%,2.18%,1.21%,0.99%,91.43,90.52,11.31,101.83,-2.10%,29%,15%,16%,0.42,0.69,0.18,AA+,4.50%,32
116,航电转债,110042,2018-01-15,中航电子,600372,航空航天,115.3,-0.59%,1.22%,14.99,0.94%,4.1,0.10%,14.23,3.7,5.30%,105.34,9.50%,转股中,4.57年,2.57年,9.10%,9.60%,24,-1.08%,-1.48%,-1.16%,-3.97%,-4.19%,92.87,92.12,24.17,116.29,-0.90%,35%,18%,16%,0.68,0.81,0.55,AAA,4.00%,13
117,蒙电转债!,110041,2018-01-09,内蒙华电,600863,能源电力,110.7,0.27%,0.15%,2.92,0.69%,7.3,0.40%,2.92,1.49,0.00%,100,10.70%,转股中,4.56年,2.56年,11.00%,11.00%,18.7,0.04%,-0.40%,-0.05%,-2.49%,-2.72%,93,93.08,19.85,112.93,-2.00%,23%,14%,16%,0.61,0.95,0.3,AAA,4.00%,17
118,双环转债!,128032,2018-01-25,双环传动,2472,机械装备制造,95.599,-0.06%,0.02%,5.66,-0.53%,0.5,0.10%,9.99,1.14,-43.30%,56.66,68.70%,转股中,4.57年,2.57年,25.70%,14.60%,10,3.35%,2.89%,3.26%,2.90%,2.65%,90.5,89.06,2.79,91.85,4.10%,54%,29%,16%,0.07,-0.76,0.89,AA,5.00%,25
119,天康转债!,128030,2018-01-29,天康生物,2100,农业,127.2,1.58%,0.45%,10.14,2.42%,14,1.70%,8.15,3.07,24.40%,124.42,2.20%,转股中,4.56年,2.56年,6.50%,8.00%,6.6,-2.65%,-3.13%,-2.74%,-7.40%,-7.61%,90.53,90.7,41.73,132.43,-3.90%,35%,<2%,16%,0.84,1.52,0.22,AA,5.00%,13
120,太阳转债!,128029,2018-01-16,太阳纸业,2078,造纸包装印刷,103.637,-0.41%,0.56%,6.41,0.79%,2.5,0.20%,8.65,1.31,-25.90%,74.1,39.90%,转股中,3.56年,1.56年,7.20%,5.40%,12,1.26%,0.81%,1.17%,-1.22%,-1.39%,94.06,92.74,4.69,97.44,6.40%,38%,31%,16%,0.2,-1.06,1.48,AA+,4.50%,9
121,赣锋转债!,128028,2018-01-19,赣锋锂业,2460,有色金属,98.1,0.09%,-0.30%,24.48,-2.51%,2.7,0.30%,42.58,4.05,-42.50%,57.49,70.60%,转股中,4.56年,2.56年,2.90%,1.70%,9.3,2.54%,2.13%,2.46%,1.65%,1.46%,89.87,88.23,3.32,91.55,7.20%,70%,33%,17%,0.08,-1.3,1.51,AA,5.00%,17
122,铁汉转债!,123004,2018-01-26,铁汉生态,300197,城市公用设施,99.97,0.12%,0.43%,3.41,1.19%,2.6,0.60%,3.99,1.26,-14.50%,85.46,17.00%,转股中,4.55年,2.55年,5.90%,5.10%,4.8,2.23%,1.79%,2.14%,1.13%,0.91%,90.36,88.71,12.79,101.51,-1.50%,68%,14%,15%,0.46,0.51,0.43,AA,5.00%,47
123,崇达转债,128027,2018-01-22,崇达技术,2815,电子,110.379,-0.47%,0.03%,14.91,-0.67%,7.1,0.80%,14.75,4.31,1.10%,101.08,9.20%,转股中,4.54年,2.54年,6.10%,6.20%,7.6,0.09%,-0.35%,0.00%,-2.44%,-2.67%,90.62,89.18,23.89,113.07,-2.40%,62%,13%,16%,0.66,0.9,0.45,AA,5.00%,11
124,泰晶转债!,113503,2018-01-02,泰晶科技,603738,电子,101.39,0.58%,1.53%,15.8,4.29%,14,6.60%,17.9,4.23,-11.70%,88.27,14.90%,转股中,4.54年,2.54年,8.60%,7.60%,2.2,2.45%,1.91%,2.34%,0.73%,0.49%,90.71,90.88,14.34,105.22,-3.60%,64%,14%,16%,0.49,0.98,0.05,AA,5.00%,37
125,众兴转债!,128026,2018-01-03,众兴菌业,2772,农业,94.986,0.01%,-0.81%,8.55,-2.62%,3.8,0.40%,11.54,1.26,-25.90%,74.09,28.20%,转股中,4.54年,2.54年,29.30%,21.70%,9.2,3.55%,3.07%,3.45%,3.22%,2.96%,88.47,85.62,9.91,95.54,-0.60%,34%,15%,16%,0.3,0.09,0.52,AA-,6.00%,45
126,蓝思转债!,123003,2018-01-17,蓝思科技,300433,电子,96.838,-0.27%,0.16%,6.93,-0.72%,9,0.20%,10.46,1.7,-33.70%,66.25,46.20%,转股中,4.52年,2.52年,17.60%,11.70%,48,2.98%,2.53%,2.89%,2.36%,2.13%,91.64,90.73,4.13,94.86,2.10%,87%,22%,16%,0.16,-0.3,0.61,AA+,4.50%,39
127,特一转债!,128025,2017-12-28,特一药业,2728,医药,108.489,0.18%,-0.04%,15.79,0.19%,0.6,0.20%,15.45,3.31,2.20%,102.2,6.20%,转股中,4.52年,2.52年,10.70%,10.90%,3.4,0.37%,-0.05%,0.29%,-1.91%,-2.13%,88.25,85.21,28.59,113.8,-4.70%,36%,11%,17%,0.7,1.28,0.17,AA-,6.00%,30
128,宁行转债,128024,2018-01-12,宁波银行,2142,金融,128.6,-0.62%,0.40%,23.2,-0.26%,119,1.50%,18.01,1.73,28.80%,128.82,-0.20%,转股中,4.51年,无权,5.00%,6.50%,61.2,-3.65%,-4.00%,-3.72%,无权,无权,无权,91.58,44.61,136.19,-5.60%,31%,<2%,18%,0.83,2.02,-0.24,AAA,4.00%,36
129,亚太转债!,128023,2017-12-26,亚太股份,2284,汽车,92.297,0.00%,0.00%,4.95,0.20%,6,0.70%,10.34,1.41,-52.10%,47.87,92.80%,转股中,4.51年,2.51年,27.40%,13.10%,10,4.64%,4.08%,4.53%,4.33%,4.07%,90.75,90.91,0.93,91.84,0.50%,37%,24%,17%,0.03,-0.08,0.14,AA,5.00%,45
130,众信转债!,128022,2017-12-28,众信旅游,2707,旅游餐饮酒店,99,-0.20%,-0.14%,5.93,-1.17%,1.3,0.20%,7.92,2.3,-25.10%,74.87,32.20%,转股中,4.50年,2.50年,13.30%,10.00%,7,2.48%,2.03%,2.39%,1.53%,1.30%,90.57,88.92,8.7,97.62,1.40%,56%,20%,17%,0.29,-0.18,0.76,AA,5.00%,14
131,兄弟转债!,128021,2017-12-27,兄弟科技,2562,医药,100.719,-0.77%,1.29%,4.66,1.08%,0.6,0.10%,5.35,1.96,-12.90%,87.1,15.60%,转股中,4.49年,2.49年,12.00%,10.50%,5.1,2.08%,1.64%,1.99%,0.87%,0.64%,90.6,88.95,14.23,103.18,-2.40%,68%,15%,16%,0.48,0.76,0.23,AA,5.00%,26
132,国祯转债!,123002,2017-12-25,国祯环保,300388,城市公用设施,116.87,-1.44%,2.07%,9.24,0.87%,0.1,0.00%,8.72,2.34,6.00%,105.96,10.30%,转股中,4.48年,2.48年,10.00%,10.60%,5.1,-1.30%,-1.72%,-1.39%,-4.67%,-4.88%,90.65,89,27.22,116.21,0.60%,51%,22%,16%,0.71,0.4,1.03,AA,5.00%,10
133,生益转债!,110040,2017-12-11,生益科技,600183,电子,123.02,1.87%,-0.57%,14.14,1.58%,21,1.00%,11.62,4.71,21.70%,121.69,1.10%,转股中,4.48年,无权,5.90%,7.10%,17.6,-2.45%,-2.85%,-2.53%,无权,无权,无权,90.88,38.43,129.31,-4.90%,47%,<2%,16%,0.82,1.77,-0.04,AA+,4.50%,9
134,水晶转债!,128020,2017-12-12,水晶光电,2273,电子,98.9,0.30%,-0.42%,11.09,-0.54%,0.1,0.00%,16,2.57,-30.70%,69.31,42.70%,转股中,4.46年,2.46年,12.30%,8.50%,11.8,2.79%,2.29%,2.69%,1.38%,1.19%,90.25,90.07,4.92,94.99,4.10%,46%,24%,16%,0.21,-0.73,1.15,AA,5.00%,17
135,济川转债!,110038,2017-11-29,济川药业,600566,医药,107.83,0.23%,0.10%,34.1,0.83%,3.5,0.50%,40.04,4.73,-14.80%,85.16,26.60%,转股中,3.45年,1.45年,2.30%,1.90%,6.3,0.26%,-0.21%,0.17%,-3.65%,-3.83%,93.85,92.12,8.8,100.91,6.90%,36%,27%,15%,0.4,-1.09,1.93,AA,5.00%,17
136,嘉澳转债!,113502,2017-11-27,嘉澳环保,603822,城市公用设施,95.96,0.16%,0.16%,24.83,4.68%,0.9,0.50%,45.04,2.55,-44.90%,55.13,74.10%,转股中,4.44年,2.44年,10.20%,5.60%,1.9,3.81%,3.24%,3.69%,2.93%,2.66%,88.93,87.62,3.12,90.74,5.80%,57%,35%,17%,0.07,-1.1,1.25,AA-,6.00%,47
137,久立转2!,128019,2017-12-01,久立特材,2318,石油天然气化工,106.43,0.00%,-0.80%,7.15,-1.52%,22,2.00%,7.92,1.98,-9.70%,90.28,17.90%,转股中,4.44年,2.44年,17.30%,15.60%,10.4,0.82%,0.39%,0.74%,-1.24%,-1.46%,90.84,89.19,16.82,106.01,0.40%,34%,17%,17%,0.53,0.19,0.86,AA,5.00%,22
138,时达转债!,128018,2017-12-04,新时达,2527,机械装备制造,95.719,0.42%,-0.47%,5.58,-0.18%,0.6,0.10%,7.45,1.39,-25.10%,74.9,27.80%,转股中,4.43年,2.43年,25.40%,19.00%,8.8,3.43%,2.95%,3.33%,3.00%,2.74%,91.09,89.64,7.79,97.43,-1.80%,34%,14%,16%,0.28,0.46,0.13,AA,5.00%,46
