,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
34,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,113.2,1.06%,-0.08%,13.86,1.39%,8.4,0.60%,13.62,4.12,1.80%,101.76,11.20%,3月25天,5.80年,3.80年,7.90%,8.00%,12,0.78%,0.22%,0.66%,-2.18%,-2.36%,88.18,93.4,21.86,115.25,-1.80%,49%,15%,16%,0.71,0.49,0.92,AA,4.20%,23
35,中信转债,113021,2019-03-19,中信银行,601998,金融,105.31,0.17%,0.19%,5.89,1.03%,68,0.20%,7.45,0.87,-20.90%,79.06,33.20%,3月28天,5.80年,无权,13.90%,11.00%,400,2.20%,1.60%,2.08%,无权,无权,无权,96.31,9.08,105.39,-0.10%,23%,18%,17%,0.35,0.29,0.42,AAA,3.80%,53
36,富祥转债,123020,2019-03-29,富祥股份,300497,医药,110.123,1.95%,-0.40%,18.84,2.11%,5.4,1.20%,18.05,3.67,4.40%,104.38,5.50%,3月26天,5.79年,3.79年,9.90%,10.40%,4.2,1.69%,1.05%,1.56%,-1.35%,-1.56%,88.58,95.38,23.02,118.4,-7.00%,64%,6%,16%,0.73,1.55,-0.01,AA-,4.30%,53
37,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,100.41,0.64%,0.26%,20.8,1.61%,6.5,1.00%,24.18,2.51,-14.00%,86.02,16.70%,3月26天,5.79年,3.79年,17.10%,14.70%,6.3,2.90%,2.33%,2.79%,1.01%,0.79%,86.88,90.47,14.27,104.73,-4.10%,55%,13%,17%,0.56,0.6,0.54,AA-,4.80%,32
38,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,102,0.75%,-0.95%,6.35,-0.31%,6.7,1.80%,6.8,2.66,-6.60%,93.38,9.20%,3月23天,5.79年,3.79年,15.40%,14.40%,3.7,3.15%,2.49%,3.02%,0.69%,0.45%,87.43,93.58,17.56,111.14,-8.20%,71%,6%,17%,0.65,1.49,-0.11,A+,4.70%,45
39,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,105.98,0.93%,0.04%,9.1,1.79%,13,0.30%,10.29,1.62,-11.60%,88.44,19.80%,3月23天,5.79年,3.79年,14.20%,12.60%,39.7,1.34%,0.88%,1.25%,-0.53%,-0.71%,88.4,90.56,14.53,105.09,0.80%,64%,18%,16%,0.55,0.01,1.08,AA+,4.20%,32
40,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,122.8,7.04%,1.83%,9.52,10.10%,141,12.90%,7.41,0.8,28.50%,128.48,-4.40%,3月22天,5.79年,3.79年,17.80%,22.90%,9.1,-1.07%,-1.54%,-1.17%,-4.16%,-4.34%,89.9,93.5,43.5,137,-10.40%,41%,<2%,16%,0.88,2.94,-0.9,AA,3.80%,49
41,中来转债,123019,2019-03-22,中来股份,300393,能源电力,103.65,1.86%,-0.65%,18.25,2.24%,5.4,0.50%,20.41,1.92,-10.60%,89.42,15.90%,3月18天,5.78年,3.78年,23.00%,20.50%,10,3.35%,2.60%,3.20%,0.29%,0.05%,87.03,95.39,15.26,110.66,-6.30%,48%,10%,18%,0.54,1.07,0.06,AA-,4.90%,59
42,中宠转债,128054,2019-03-14,中宠股份,2891,农业,104.751,0.53%,0.74%,33.26,2.02%,0.6,0.30%,37.97,4.73,-12.40%,87.6,19.60%,3月8天,5.75年,3.75年,5.80%,5.10%,1.9,1.76%,1.26%,1.66%,-0.20%,-0.40%,86.61,88.69,14.91,103.6,1.10%,48%,19%,16%,0.63,-0.48,1.75,A+,4.80%,23
43,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,109.2,1.66%,-0.63%,5.3,1.34%,9.5,1.20%,4.94,1.49,7.30%,107.29,1.80%,3月6天,5.75年,3.75年,20.00%,21.50%,7.5,0.97%,0.49%,0.87%,-1.30%,-1.48%,88.88,92.01,26.81,118.82,-8.10%,43%,<2%,16%,0.77,2.04,-0.37,AA,4.10%,79
44,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,101.83,0.82%,-0.27%,13.83,0.95%,9.5,1.30%,14.96,1.11,-7.60%,92.45,10.20%,2月15天,5.69年,3.69年,29.90%,27.70%,7.5,3.09%,2.44%,2.96%,0.56%,0.36%,87.78,94.15,17.1,111.25,-8.50%,39%,8%,18%,0.58,1.77,-0.48,AA,4.60%,51
45,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,113.51,0.34%,-0.11%,14.21,0.28%,0.7,0.20%,12.31,2.37,15.40%,115.43,-1.70%,2月14天,5.69年,3.69年,12.90%,14.90%,3.9,-0.38%,-0.74%,-0.45%,-2.36%,-2.53%,89.24,89.34,36.44,125.78,-9.80%,49%,<2%,18%,0.81,2.61,-0.76,AA,4.00%,26
46,平银转债,127010,2019-02-18,平安银行,1,金融,119,0.59%,1.75%,12.92,3.44%,327,1.10%,11.77,0.89,9.80%,109.77,8.40%,2月10天,5.69年,无权,11.70%,12.90%,260,-0.15%,-0.70%,-0.26%,无权,无权,无权,96.68,27.13,123.81,-3.90%,30%,14%,16%,0.68,1.45,-0.01,AAA,3.70%,56
47,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,138,4.55%,2.92%,8.85,7.93%,169,24.50%,5.52,1.2,60.30%,160.33,-13.90%,2月3天,5.67年,3.67年,8.80%,14.10%,5.1,-3.17%,-3.63%,-3.27%,-7.22%,-7.39%,90.61,94.48,72.2,166.68,-17.20%,45%,<2%,17%,0.94,5.11,-2.37,AA,3.60%,29
48,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,180.9,5.45%,-0.04%,15.4,5.55%,"1,209",205%,6.97,1.6,121%,220.95,-18.10%,42天,5.60年,3.60年,6.40%,14.20%,3.3,-7.83%,-8.25%,-7.91%,-13.20%,-13.40%,91.28,95.32,130.8,226.12,-20.00%,80%,<2%,17%,0.98,6.16,-2.98,AA,3.60%,37
