,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
27,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,112.32,-0.31%,1.36%,17.05,1.67%,2.9,0.30%,17.6,2.86,-3.10%,96.88,15.90%,3月28天,5.80年,3.80年,11.70%,11.30%,8.8,0.49%,0.01%,0.40%,-1.94%,-2.13%,85.89,87.54,23.93,111.47,0.80%,42%,20%,16%,0.63,0.12,1.14,AA,5.00%,27
28,苏银转债,110053,2019-04-03,江苏银行,600919,金融,106.2,-0.82%,0.82%,7.34,0.00%,562,2.60%,7.9,0.81,-7.10%,92.91,14.30%,3月25天,5.80年,无权,23.60%,21.90%,200,2.08%,1.48%,1.96%,无权,无权,无权,95.58,18.71,114.28,-7.10%,25%,11%,18%,0.5,1.93,-0.76,AAA,4.00%,63
29,浙商转债!,113022,2019-03-28,浙商证券,601878,金融,106.54,-0.09%,0.98%,9.05,2.72%,12,0.30%,12.53,2.17,-27.80%,72.23,47.50%,3月24天,5.79年,无权,11.60%,8.40%,35,0.56%,0.24%,0.50%,无权,无权,无权,87.99,8.9,96.89,10.00%,50%,35%,18%,0.33,-1.58,2.34,AAA,4.00%,35
30,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,117.65,-0.97%,1.31%,45.71,0.46%,13,1.10%,40.52,5.85,12.80%,112.81,4.30%,3月21天,5.79年,3.79年,5.30%,6.00%,10,0.10%,-0.45%,-0.01%,-3.14%,-3.32%,85.75,89.66,34.57,124.23,-5.30%,46%,11%,16%,0.75,1.61,-0.03,AA,5.00%,16
31,视源转债,128059,2019-04-02,视源股份,2841,电子,112.6,0.07%,1.07%,75.7,1.71%,10,1.00%,75.71,13.73,0.00%,99.99,12.60%,3月21天,5.79年,3.79年,1.90%,1.90%,9.4,0.26%,-0.18%,0.17%,-2.05%,-2.23%,85.75,86.64,26.61,113.25,-0.60%,55%,18%,16%,0.67,0.45,0.9,AA,5.00%,14
32,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107.5,0.07%,0.86%,9.91,2.16%,9.6,0.70%,11.99,1.43,-17.30%,82.65,30.10%,3月21天,5.78年,3.78年,9.90%,8.20%,12,1.31%,0.81%,1.21%,-0.84%,-1.03%,87.61,90.18,13.7,103.88,3.50%,41%,24%,17%,0.43,-0.5,1.37,AA+,4.50%,21
33,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,112.73,1.38%,0.76%,5.84,3.36%,2.6,0.40%,5.64,2.68,3.50%,103.55,8.90%,3月18天,5.78年,3.78年,9.60%,10.00%,5.7,1.55%,0.87%,1.42%,-1.82%,-2.06%,86.74,93.37,26.12,119.49,-5.70%,59%,10%,16%,0.64,1.52,-0.16,AA,5.00%,36
34,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,107.02,1.15%,2.90%,9.25,5.47%,16,2.60%,8.81,1.99,5.00%,104.99,1.90%,3月16天,5.77年,3.77年,11.80%,12.40%,5.8,1.68%,1.13%,1.57%,-0.71%,-0.91%,82.98,84.61,33.26,117.87,-9.20%,75%,7%,16%,0.74,2.22,-0.56,AA-,6.00%,55
35,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,114.68,0.74%,1.92%,8.83,3.88%,24,1.30%,8.13,1.97,8.60%,108.61,5.60%,3月16天,5.77年,3.77年,17.40%,18.90%,16,0.66%,0.08%,0.54%,-2.40%,-2.60%,87.91,92.8,29.11,121.91,-5.90%,43%,11%,16%,0.68,1.76,-0.28,AA+,4.50%,33
36,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,111.207,0.55%,1.97%,13.6,3.98%,3.5,0.30%,13.62,4.11,-0.10%,99.85,11.40%,3月13天,5.77年,3.77年,8.00%,8.00%,12,1.10%,0.54%,0.98%,-1.75%,-1.93%,85.83,89.74,24.7,114.44,-2.80%,47%,15%,16%,0.63,0.87,0.42,AA,5.00%,22
37,中信转债,113021,2019-03-19,中信银行,601998,金融,104,-0.66%,0.95%,5.87,0.86%,102,0.20%,7.45,0.69,-21.20%,78.79,32.00%,3月16天,5.77年,无权,13.90%,11.00%,400,2.44%,1.84%,2.32%,无权,无权,无权,95.53,9.75,105.28,-1.20%,23%,18%,17%,0.34,0.52,0.18,AAA,4.00%,52
38,富祥转债,123020,2019-03-29,富祥股份,300497,医药,107.71,0.28%,2.70%,18.22,4.41%,15,3.30%,18.05,3.71,0.90%,100.94,6.70%,3月14天,5.76年,3.76年,10.30%,10.40%,4.2,2.10%,1.45%,1.97%,-0.79%,-1.01%,83.32,87.22,28.8,116.02,-7.20%,64%,11%,16%,0.68,1.62,-0.17,AA-,6.00%,43
39,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,99.54,0.72%,0.33%,20.83,1.96%,2,0.30%,24.18,2.16,-13.90%,86.15,15.50%,3月14天,5.76年,3.76年,17.10%,14.70%,6.3,3.08%,2.50%,2.96%,1.24%,1.02%,83.31,85.06,20.22,105.29,-5.50%,55%,11%,17%,0.53,1.02,0.09,AA-,6.00%,34
40,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,100.009,-0.19%,1.90%,6.15,2.67%,1.5,0.40%,6.78,2.41,-9.30%,90.71,10.30%,3月11天,5.76年,3.76年,15.90%,14.40%,3.7,3.53%,2.86%,3.40%,1.21%,0.97%,79.18,80.99,27.87,108.86,-8.10%,70%,10%,17%,0.64,1.32,0.02,A+,7.50%,44
41,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,100.96,0.80%,0.41%,9.04,2.38%,102,2.60%,10.29,1.42,-12.10%,87.85,14.90%,3月11天,5.76年,3.76年,14.30%,12.60%,39.7,2.22%,1.76%,2.13%,0.72%,0.52%,87.48,89.14,16.14,105.28,-4.10%,64%,12%,16%,0.51,1.16,-0.08,AA+,4.50%,37
42,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,114.01,0.76%,1.98%,7.97,3.78%,7.5,0.70%,7.41,0.86,7.60%,107.56,6.00%,3月10天,5.75年,3.75年,21.30%,22.90%,9.1,0.23%,-0.25%,0.13%,-2.34%,-2.53%,86.07,87.72,31.81,119.54,-4.60%,42%,13%,16%,0.73,1.41,0.11,AA,5.00%,43
43,中来转债,123019,2019-03-22,中来股份,300393,能源电力,101.402,0.00%,1.69%,17.31,3.59%,4.9,0.50%,20.41,1.63,-15.20%,84.81,19.60%,3月6天,5.75年,3.75年,24.20%,20.50%,10,3.78%,3.01%,3.62%,0.86%,0.62%,83.66,90.02,18.32,108.33,-6.40%,48%,13%,18%,0.47,1.16,-0.15,AA-,6.00%,55
44,中宠转债,128054,2019-03-14,中宠股份,2891,农业,103.332,-0.16%,1.54%,34.11,2.03%,1.4,0.70%,37.97,4.25,-10.20%,89.83,15.00%,2月26天,5.72年,3.72年,5.70%,5.10%,1.9,2.02%,1.52%,1.92%,0.15%,-0.05%,78.68,77.07,28,105.07,-1.70%,48%,17%,16%,0.67,0.02,1.33,A+,7.50%,23
45,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,107,0.84%,0.68%,5.18,2.17%,3,0.40%,4.94,1.56,4.90%,104.86,2.00%,2月24天,5.72年,3.72年,20.50%,21.50%,7.5,1.34%,0.85%,1.24%,-0.79%,-0.97%,86.03,87.69,29.61,117.3,-8.80%,42%,<2%,16%,0.7,2.32,-0.72,AA,5.00%,77
46,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,99.69,0.19%,1.00%,13.71,2.31%,20,2.60%,14.96,1.02,-8.40%,91.64,8.80%,2月3天,5.66年,3.66年,30.20%,27.70%,7.5,3.51%,2.85%,3.37%,1.13%,0.92%,86.49,92.08,19.64,111.72,-10.80%,38%,6%,18%,0.52,2.59,-1.26,AA,5.00%,57
47,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,109.71,0.93%,0.71%,13.62,2.18%,0.8,0.20%,12.31,2.63,10.60%,110.64,-0.80%,2月2天,5.66年,3.66年,13.40%,14.90%,3.9,0.23%,-0.14%,0.15%,-1.50%,-1.68%,86.1,84.72,37.36,122.09,-10.10%,49%,<2%,18%,0.75,2.79,-1,AA,5.00%,27
48,平银转债,127010,2019-02-18,平安银行,1,金融,116.82,-0.28%,0.39%,12.37,0.16%,249,0.80%,11.77,0.93,5.10%,105.1,11.20%,58天,5.65年,无权,12.20%,12.90%,260,0.18%,-0.38%,0.07%,无权,无权,无权,95.06,25.34,120.4,-3.00%,30%,13%,16%,0.64,1.16,0.16,AAA,4.00%,51
49,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,139.039,2.31%,1.18%,8.85,3.75%,110,15.60%,5.52,1.92,60.30%,160.33,-13.30%,51天,5.63年,3.63年,8.80%,14.10%,5.1,-3.32%,-3.78%,-3.41%,-7.46%,-7.63%,86.39,88.05,78.65,166.71,-16.60%,45%,<2%,17%,0.93,4.98,-2.3,AA,5.00%,31
50,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,179.28,4.12%,-1.54%,13.81,2.68%,788,137%,6.97,3.18,98.10%,198.13,-9.50%,30天,5.57年,3.57年,7.20%,14.20%,3.3,-7.72%,-8.15%,-7.81%,-13.10%,-13.30%,86.86,88.53,115.04,203.57,-11.90%,80%,<2%,17%,0.96,3.76,-1.38,AA,5.00%,33
